Month,Year,Region,Population,Croup,Scarlet Fever,Measles,Whooping Cough,Pneumonia,"Diarrheal Diseases, Under 5 Years",Cerebro-Spinal Fever,Influenza,Puerperal Septicemia,Cancer,Violence,Smallpox
August,1904,"Cities, class 3",235662,0,0,1,2,3,70,1,0,0,7,22,0
August,1904,"Cities, class 4",182000,0,0,0,0,4,55,2,0,0,7,24,2
August,1904,"Cities, class 5",125226,0,1,1,0,1,36,3,1,0,0,11,0
September,1904,Indiana (statewide),2656404,0,6,2,7,73,319,34,1,13,115,146,12
September,1904,Northern counties,889376,0,2,1,0,30,115,20,0,2,44,51,0
September,1904,Central counties,1093418,0,0,0,3,28,112,9,1,6,55,69,12
September,1904,Southern counties,673610,0,4,1,4,15,92,5,0,5,16,26,0
September,1904,Urban,922372,0,2,1,5,37,122,10,0,4,52,85,10
September,1904,Rural,1734032,0,4,1,2,36,197,24,1,9,63,61,2
September,1904,"Cities, class 1",252515,0,0,0,2,12,16,0,0,1,11,23,0
September,1904,"Cities, class 2",126969,0,0,0,0,5,23,0,0,1,7,14,10
September,1904,"Cities, class 3",235662,0,2,0,1,10,35,3,0,0,14,25,0
September,1904,"Cities, class 4",182000,0,0,0,2,9,33,4,0,1,8,9,0
September,1904,"Cities, class 5",125226,0,0,1,0,1,15,3,0,1,12,14,0
October,1904,Indiana (statewide),2656404,0,11,2,16,113,204,23,4,6,103,148,18
October,1904,Northern counties,889376,0,4,1,6,36,67,9,1,3,39,52,1
October,1904,Central counties,1093418,0,2,1,5,36,77,8,2,1,37,57,10
October,1904,Southern counties,673610,0,5,0,5,41,60,6,1,2,27,39,7
October,1904,Urban,922372,0,3,1,6,46,75,7,1,4,51,72,10
October,1904,Rural,1734032,0,8,1,10,67,129,16,3,2,52,76,8
October,1904,"Cities, class 1",252515,0,0,0,0,18,14,0,1,1,10,13,0
October,1904,"Cities, class 2",126969,0,0,0,1,5,9,2,0,1,13,10,7
October,1904,"Cities, class 3",235662,0,2,1,2,5,25,1,0,2,7,20,0
October,1904,"Cities, class 4",182000,0,1,0,2,11,16,4,0,0,11,24,3
October,1904,"Cities, class 5",125226,0,0,0,1,7,11,0,0,0,10,5,0
November,1904,Indiana (statewide),2656404,2,17,0,7,229,44,22,16,8,103,163,12
November,1904,Northern counties,889376,0,5,0,2,67,16,4,3,2,37,52,0
November,1904,Central counties,1093418,2,3,0,2,88,16,10,4,3,39,78,4
November,1904,Southern counties,673610,0,9,0,3,74,12,8,9,3,27,33,8
November,1904,Urban,922372,0,4,0,1,80,10,10,5,2,51,68,6
November,1904,Rural,1734032,2,13,0,6,149,34,12,11,6,52,95,6
November,1904,"Cities, class 1",252515,0,0,0,0,28,1,1,0,0,13,15,0
November,1904,"Cities, class 2",126969,0,0,0,1,10,2,1,1,1,5,14,4
November,1904,"Cities, class 3",235662,0,2,0,0,19,1,4,1,0,18,16,0
November,1904,"Cities, class 4",182000,0,2,0,0,13,4,4,1,0,8,19,0
November,1904,"Cities, class 5",125226,0,0,0,0,10,2,0,1,1,7,4,2
December,1904,Indiana (statewide),2656404,6,22,0,10,351,28,30,27,10,121,163,8
December,1904,Northern counties,889376,1,11,0,5,80,14,6,7,6,46,57,0
December,1904,Central counties,1093418,2,3,0,1,170,8,16,15,1,49,65,5
December,1904,Southern counties,673610,3,8,0,4,101,6,8,5,3,26,41,3
December,1904,Urban,922372,0,3,0,5,150,16,18,10,4,49,65,5
December,1904,Rural,1734032,6,19,0,5,201,12,12,17,6,72,98,3
December,1904,"Cities, class 1",252515,0,0,0,0,52,1,3,4,0,9,20,0
December,1904,"Cities, class 2",126969,0,1,0,4,14,6,3,2,2,8,11,2
December,1904,"Cities, class 3",235662,0,1,0,0,34,2,8,1,1,17,14,0
December,1904,"Cities, class 4",182000,0,1,0,1,31,7,3,2,1,7,11,0
December,1904,"Cities, class 5",125226,0,0,0,0,19,0,1,1,0,8,9,3
January,1905,Indiana (statewide),2648549,5,17,0,13,558,29,28,114,19,99,129,7
January,1905,Northern counties,887832,2,1,0,3,137,11,13,39,3,41,35,1
January,1905,Central counties,1087620,2,8,0,4,256,12,11,45,12,39,61,0
January,1905,Southern counties,673097,1,8,0,6,165,6,4,30,4,19,33,6
January,1905,Urban,968204,2,2,0,2,215,11,10,41,7,49,64,1
January,1905,Rural,1686345,3,15,0,11,343,18,18,73,12,50,65,6
January,1905,"Cities, class 1",259221,0,0,0,0,63,0,4,8,3,11,11,0
January,1905,"Cities, class 2",129930,1,0,0,1,32,7,0,3,0,7,14,0
January,1905,"Cities, class 3",252343,0,0,0,1,61,1,3,16,1,11,21,0
January,1905,"Cities, class 4",196779,1,2,0,0,35,0,3,9,1,10,11,0
January,1905,"Cities, class 5",129931,0,0,0,0,24,3,0,5,2,10,7,1
February,1905,Indiana (statewide),2648549,5,11,2,11,738,13,40,229,7,101,122,8
February,1905,Northern counties,887832,2,6,1,5,200,4,15,52,2,36,42,1
February,1905,Central counties,1087620,2,1,0,2,296,5,16,84,1,50,50,3
February,1905,Southern counties,673097,1,4,1,4,242,4,9,93,4,15,30,4
February,1905,Urban,968204,1,2,0,4,255,4,15,61,3,30,62,2
February,1905,Rural,1686345,4,9,2,7,483,9,25,168,4,71,60,6
February,1905,"Cities, class 1",259221,0,0,0,0,64,1,3,9,0,6,14,1
February,1905,"Cities, class 2",129930,0,1,0,1,45,0,2,3,0,8,14,0
February,1905,"Cities, class 3",252343,1,0,0,2,59,2,6,26,1,5,19,0
February,1905,"Cities, class 4",196779,0,0,0,1,49,0,2,17,1,5,8,1
February,1905,"Cities, class 5",129931,0,1,0,0,38,1,2,6,1,6,7,0
March,1905,Indiana (statewide),2648549,5,16,0,15,584,21,45,145,12,107,161,1
March,1905,Northern counties,887832,2,4,0,6,214,4,12,37,3,48,50,0
March,1905,Central counties,1087620,2,9,0,4,212,8,14,62,1,38,66,0
March,1905,Southern counties,673097,1,3,0,5,158,9,19,46,8,21,45,1
March,1905,Urban,968204,2,2,0,5,255,6,26,57,5,48,86,0
March,1905,Rural,1686345,3,14,0,10,329,15,19,88,7,59,75,1
March,1905,"Cities, class 1",259221,0,1,0,0,45,0,4,10,0,2,19,0
March,1905,"Cities, class 2",129930,0,0,0,2,74,1,6,15,1,12,26,0
March,1905,"Cities, class 3",252343,1,0,0,2,47,4,9,11,0,12,16,0
March,1905,"Cities, class 4",196779,0,0,0,1,51,1,2,8,3,12,16,0
March,1905,"Cities, class 5",129931,1,1,0,0,38,0,5,13,1,10,9,0
April,1905,Indiana (statewide),2648549,2,23,3,14,223,18,46,35,15,86,132,4
April,1905,Northern counties,887832,1,5,2,5,65,5,16,11,6,35,39,0
April,1905,Central counties,1087620,0,8,1,4,94,7,15,14,4,37,59,2
April,1905,Southern counties,673097,1,10,0,5,64,6,15,10,5,16,34,2
April,1905,Urban,977802,2,6,1,6,103,9,29,14,5,44,75,2
April,1905,Rural,1670747,0,17,2,8,120,9,17,21,10,42,57,2
April,1905,"Cities, class 1",260046,0,2,0,1,31,2,10,3,1,10,23,1
April,1905,"Cities, class 2",133029,0,0,0,2,15,1,7,3,0,10,14,0
April,1905,"Cities, class 3",258017,1,2,0,0,23,1,6,2,1,11,21,1
April,1905,"Cities, class 4",196779,1,2,0,3,21,4,6,2,2,6,11,0
April,1905,"Cities, class 5",129931,0,0,1,0,13,0,0,4,1,7,6,0
May,1905,Indiana (statewide),2648549,2,11,0,19,170,28,44,16,18,122,140,2
May,1905,Northern counties,887832,1,3,0,4,55,9,16,2,3,57,51,0
May,1905,Central counties,1087620,0,3,0,10,74,9,13,9,8,38,51,0
May,1905,Southern counties,673097,1,5,0,5,41,10,15,5,7,27,38,2
May,1905,Urban,977812,0,3,0,12,80,15,21,8,8,62,60,0
May,1905,Rural,1670737,2,8,0,7,90,13,23,8,10,60,80,2
May,1905,"Cities, class 1",260046,0,1,0,2,29,6,5,2,4,12,18,0
May,1905,"Cities, class 2",159349,0,0,0,2,14,3,4,1,0,7,13,0
May,1905,"Cities, class 3",231707,0,0,0,5,21,1,3,4,1,21,14,0
May,1905,"Cities, class 4",196779,0,1,0,3,9,3,6,1,1,8,9,0
May,1905,"Cities, class 5",129931,0,1,0,0,7,2,3,0,2,14,6,0
June,1905,Indiana (statewide),2648549,2,4,1,9,89,107,25,7,7,120,160,4
June,1905,Northern counties,887832,1,2,0,4,32,14,6,2,3,44,65,4
June,1905,Central counties,1087620,1,1,1,4,39,36,13,4,2,47,64,0
June,1905,Southern counties,673097,0,1,0,1,18,57,6,1,2,29,31,0
June,1905,Urban,977802,1,3,0,6,39,50,12,4,3,62,67,4
June,1905,Rural,1670747,1,1,1,3,50,57,13,3,4,58,93,0
June,1905,"Cities, class 1",260046,0,0,0,1,16,14,3,1,1,13,9,0
June,1905,"Cities, class 2",159349,1,0,0,2,7,8,0,0,0,12,15,4
June,1905,"Cities, class 3",231707,0,1,0,1,10,9,3,2,1,15,22,0
June,1905,"Cities, class 4",196779,0,0,0,2,3,15,4,0,1,11,11,0
June,1905,"Cities, class 5",129931,0,2,0,0,3,4,2,1,0,11,10,0
July,1905,Indiana (statewide),2648549,1,8,0,23,63,361,32,6,9,110,174,3
July,1905,Northern counties,887832,0,2,0,6,26,71,11,1,3,40,61,2
July,1905,Central counties,1087620,1,2,0,11,22,166,18,3,2,47,75,0
July,1905,Southern counties,673097,0,4,0,6,15,124,3,2,4,23,38,1
July,1905,Urban,977812,1,5,0,11,31,161,15,2,4,40,100,2
July,1905,Rural,1670737,0,3,0,12,32,200,17,4,5,70,74,1
July,1905,"Cities, class 1",260046,0,0,0,2,8,53,4,1,1,13,21,0
July,1905,"Cities, class 2",159349,0,2,0,2,6,22,4,0,2,10,24,2
July,1905,"Cities, class 3",231707,1,1,0,2,12,35,1,1,0,10,24,0
July,1905,"Cities, class 4",196779,0,1,0,4,1,33,4,0,1,2,19,0
July,1905,"Cities, class 5",129931,0,1,0,1,4,18,2,0,0,5,12,0
August,1905,Indiana (statewide),2648549,0,6,1,15,61,478,56,1,8,126,190,0
August,1905,Northern counties,887832,0,2,1,3,20,168,18,0,3,46,74,0
August,1905,Central counties,1087620,0,3,0,9,26,204,18,1,4,52,73,0
August,1905,Southern counties,673097,0,1,0,3,15,106,20,0,1,28,43,0
August,1905,Urban,977812,0,4,0,8,39,189,15,1,4,51,92,0
August,1905,Rural,1670737,0,2,1,7,22,289,41,0,4,75,98,0
August,1905,"Cities, class 1",260046,0,2,0,1,11,25,4,0,1,16,20,0
August,1905,"Cities, class 2",159349,0,1,0,2,6,42,3,0,3,10,12,0
August,1905,"Cities, class 3",231707,0,0,0,2,10,55,4,0,0,10,34,0
August,1905,"Cities, class 4",196779,0,0,0,2,11,48,1,1,0,9,18,0
August,1905,"Cities, class 5",129931,0,1,0,1,1,19,3,0,0,6,8,0
October,1905,Indiana (statewide),2648549,3,5,0,14,138,167,29,4,9,100,155,0
September,1905,Indiana (statewide),,,,,,,,,,,,,
September,1905,Northern counties,,,,,,,,,,,,,
September,1905,Central counties,,,,,,,,,,,,,
September,1905,Southern counties,,,,,,,,,,,,,
September,1905,Urban,,,,,,,,,,,,,
September,1905,Rural,,,,,,,,,,,,,
September,1905,"Cities, class 1",,,,,,,,,,,,,
September,1905,"Cities, class 2",,,,,,,,,,,,,
September,1905,"Cities, class 3",,,,,,,,,,,,,
September,1905,"Cities, class 4",,,,,,,,,,,,,
September,1905,"Cities, class 5",,,,,,,,,,,,,
October,1905,Northern counties,887832,2,2,0,3,30,85,8,0,3,34,53,0
October,1905,Central counties,1087620,0,2,0,1,64,42,11,2,2,45,62,0
October,1905,Southern counties,673097,1,1,0,5,44,40,10,2,4,21,40,0
October,1905,Urban,977812,3,4,0,5,71,64,14,3,2,45,75,0
October,1905,Rural,1670737,0,1,0,9,67,103,15,1,7,55,80,0
October,1905,"Cities, class 1",260046,0,2,0,1,19,9,3,1,0,13,20,0
October,1905,"Cities, class 2",159349,0,0,0,0,13,12,2,0,1,6,14,0
October,1905,"Cities, class 3",231707,1,1,0,2,13,12,1,1,1,9,20,0
October,1905,"Cities, class 4",196779,2,0,0,1,15,23,7,1,0,9,13,0
October,1905,"Cities, class 5",129931,0,1,0,1,11,8,1,0,0,8,8,0
November,1905,Indiana (statewide),2648549,9,11,1,10,219,42,32,13,10,120,159,0
November,1905,Northern counties,887832,4,3,0,1,57,15,8,2,3,43,52,0
November,1905,Central counties,1087620,3,5,1,6,89,8,14,7,6,45,66,0
November,1905,Southern counties,673097,2,3,0,3,73,19,10,4,1,32,41,0
November,1905,Urban,977812,3,4,1,5,100,18,12,0,5,55,76,0
November,1905,Rural,1670737,6,7,0,5,119,24,20,13,5,65,83,0
November,1905,"Cities, class 1",260046,1,0,1,0,38,6,6,0,1,18,20,0
November,1905,"Cities, class 2",159349,0,1,0,1,14,4,2,0,0,7,15,0
November,1905,"Cities, class 3",231707,1,1,0,0,20,2,1,0,2,16,14,0
November,1905,"Cities, class 4",196779,0,1,0,1,19,5,1,0,2,7,18,0
November,1905,"Cities, class 5",129931,1,1,0,3,9,1,2,0,0,7,9,0
December,1905,Indiana (statewide),2648549,13,7,0,9,347,21,40,19,15,90,137,1
December,1905,Northern counties,887832,5,3,0,1,101,4,9,7,4,32,50,1
December,1905,Central counties,1087620,2,2,0,7,148,6,18,10,8,31,57,0
December,1905,Southern counties,673097,6,2,0,1,98,11,13,2,3,27,30,0
December,1905,Urban,977812,3,5,0,5,156,4,19,6,6,52,69,1
December,1905,Rural,1670737,10,2,0,4,191,17,21,13,9,38,68,0
December,1905,"Cities, class 1",260046,0,2,0,1,41,1,10,3,0,13,21,0
December,1905,"Cities, class 2",159349,0,0,0,4,33,2,3,1,2,5,13,1
December,1905,"Cities, class 3",231707,1,1,0,0,39,1,2,1,2,13,16,0
December,1905,"Cities, class 4",196779,2,2,0,0,27,0,1,1,1,10,14,0
December,1905,"Cities, class 5",129931,0,0,0,0,16,0,3,0,1,11,5,0
January,1906,Indiana (statewide),2648549,7,8,3,14,415,21,38,45,11,113,122,0
January,1906,Northern counties,887832,4,5,1,3,108,9,9,10,4,39,36,0
January,1906,Central counties,1087620,0,1,2,8,186,11,19,19,3,50,58,0
January,1906,Southern counties,673097,3,2,0,3,121,1,10,16,4,24,28,0
January,1906,Urban,977812,0,2,1,3,180,19,14,17,4,53,70,0
January,1906,Rural,1670737,7,6,2,11,235,2,24,28,7,60,52,0
January,1906,"Cities, class 1",260046,0,1,1,1,59,4,4,3,2,16,20,0
January,1906,"Cities, class 2",159349,0,0,0,0,31,2,2,1,0,6,12,0
January,1906,"Cities, class 3",231707,0,1,0,1,43,2,4,5,2,13,14,0
January,1906,"Cities, class 4",196779,0,0,0,1,35,6,2,6,0,8,20,0
January,1906,"Cities, class 5",129931,0,0,0,0,12,5,2,2,0,10,4,0
February,1906,Indiana (statewide),2648549,2,8,3,12,403,22,40,45,13,95,109,0
February,1906,Northern counties,887832,0,3,3,4,119,12,13,8,4,34,35,0
February,1906,Central counties,1087620,1,4,0,5,165,7,14,20,3,46,56,0
February,1906,Southern counties,673097,1,1,0,3,119,3,13,17,6,15,18,0
February,1906,Urban,977812,0,6,3,5,177,9,17,14,5,43,59,0
February,1906,Rural,1670737,2,2,0,7,226,13,23,31,8,52,50,0
February,1906,"Cities, class 1",260046,0,1,0,0,51,0,2,4,2,12,16,0
February,1906,"Cities, class 2",159349,0,2,1,2,25,2,3,0,0,4,14,0
February,1906,"Cities, class 3",231707,0,2,0,0,37,6,6,2,2,13,7,0
February,1906,"Cities, class 4",196779,0,1,2,3,44,1,4,3,1,11,17,0
February,1906,"Cities, class 5",129931,0,0,0,0,20,0,2,5,0,3,5,0
March,1906,Indiana (statewide),2648549,1,12,0,27,469,25,29,46,4,114,112,0
March,1906,Northern counties,887832,0,8,0,5,137,9,14,12,1,38,34,0
March,1906,Central counties,1087620,0,4,0,12,215,9,10,18,0,48,54,0
March,1906,Southern counties,673097,1,0,0,10,117,7,5,16,3,28,24,0
March,1906,Urban,977812,1,6,0,12,199,14,16,15,1,56,65,0
March,1906,Rural,1670737,0,6,0,15,270,11,13,31,3,58,47,0
March,1906,"Cities, class 1",260046,1,0,0,8,66,5,1,3,1,16,16,0
March,1906,"Cities, class 2",159349,0,1,0,2,43,2,4,1,0,8,16,0
March,1906,"Cities, class 3",231707,0,3,0,0,42,1,0,6,0,14,10,0
March,1906,"Cities, class 4",196779,0,2,0,1,29,4,10,4,0,9,18,0
March,1906,"Cities, class 5",129931,0,0,0,1,19,2,1,1,0,9,5,0
April,1906,Indiana (statewide),2648549,1,8,3,27,386,27,42,28,8,125,124,0
April,1906,Northern counties,887832,0,1,2,5,123,9,15,9,2,42,32,0
April,1906,Central counties,1087620,0,3,1,13,176,9,14,11,4,56,73,0
April,1906,Southern counties,673097,1,4,0,9,87,9,13,8,2,27,19,0
April,1906,Urban,977812,0,4,1,13,169,11,13,13,2,58,67,0
April,1906,Rural,1670737,1,4,2,14,217,16,29,15,6,67,57,0
April,1906,"Cities, class 1",260046,0,2,0,7,52,4,2,4,1,13,18,0
April,1906,"Cities, class 2",159349,0,0,0,0,38,4,4,1,0,10,14,0
April,1906,"Cities, class 3",231707,0,1,0,2,32,2,2,2,1,15,10,0
April,1906,"Cities, class 4",196779,0,0,0,2,24,0,2,6,0,10,13,0
April,1906,"Cities, class 5",129931,0,1,1,2,23,1,3,0,0,10,12,0
May,1906,Indiana (statewide),2648549,0,4,6,35,213,38,40,14,6,128,152,0
May,1906,Northern counties,887832,0,1,3,8,78,16,16,2,2,34,61,0
May,1906,Central counties,1087620,0,0,3,18,95,10,18,7,2,69,57,0
May,1906,Southern counties,673097,0,3,0,9,40,12,6,5,2,25,34,0
May,1906,Urban,977812,0,0,4,15,119,21,24,1,4,55,78,0
May,1906,Rural,1670737,0,4,2,20,94,17,16,13,2,74,74,0
May,1906,"Cities, class 1",260046,0,0,0,7,33,3,7,0,1,19,18,0
May,1906,"Cities, class 2",159349,0,0,0,2,36,5,4,0,1,12,15,0
May,1906,"Cities, class 3",231707,0,0,1,2,19,4,6,0,1,9,23,0
May,1906,"Cities, class 4",196779,0,0,3,4,22,8,6,0,1,12,13,0
May,1906,"Cities, class 5",129931,0,0,0,0,9,1,1,1,0,3,9,0
June,1906,Indiana (statewide),2648549,0,12,4,19,111,68,43,3,10,95,164,0
June,1906,Northern counties,887832,0,5,3,4,45,18,15,1,3,23,59,0
June,1906,Central counties,1087620,0,4,1,10,53,20,16,1,5,46,65,0
June,1906,Southern counties,673097,0,3,0,5,13,30,12,1,2,26,40,0
June,1906,Urban,977812,0,4,3,9,63,40,15,2,6,44,79,0
June,1906,Rural,1670737,0,8,1,10,48,28,28,1,4,51,85,0
June,1906,"Cities, class 1",260046,0,1,0,3,17,15,2,1,1,8,26,0
June,1906,"Cities, class 2",159349,0,2,0,3,16,5,4,0,2,11,17,0
June,1906,"Cities, class 3",231707,0,1,1,2,15,8,4,0,1,9,15,0
June,1906,"Cities, class 4",196779,0,0,2,1,13,7,5,1,1,12,16,0
June,1906,"Cities, class 5",129931,0,0,0,0,2,5,0,0,1,4,5,0
July,1906,Indiana (statewide),2648549,1,7,0,17,85,306,39,3,9,109,208,1
July,1906,Northern counties,887832,0,0,0,4,31,47,12,0,1,39,64,0
July,1906,Central counties,1087620,1,6,0,7,33,137,21,2,2,41,84,0
July,1906,Southern counties,673097,0,1,0,6,21,122,6,1,6,29,60,1
July,1906,Urban,982266,1,2,0,10,42,164,26,1,3,55,96,0
July,1906,Rural,1666283,0,5,0,7,43,142,13,2,6,54,112,1
July,1906,"Cities, class 1",266929,1,1,0,2,19,63,8,1,1,13,19,0
July,1906,"Cities, class 2",155297,0,0,0,3,6,26,3,0,0,12,16,0
July,1906,"Cities, class 3",241848,0,0,0,0,4,25,6,0,1,13,34,0
July,1906,"Cities, class 4",188261,0,0,0,2,12,34,7,0,1,11,11,0
July,1906,"Cities, class 5",129931,0,1,0,3,1,16,2,0,0,6,16,0
August,1906,Indiana (statewide),2648549,1,5,1,8,79,459,40,2,8,123,194,0
August,1906,Northern counties,887832,1,1,1,0,23,161,5,0,1,46,70,0
August,1906,Central counties,1087620,0,1,0,6,36,181,16,2,7,54,86,0
August,1906,Southern counties,673097,0,3,0,2,20,117,19,0,0,23,38,0
August,1906,Urban,982266,0,3,1,4,40,211,19,2,5,51,110,0
August,1906,Rural,1666283,1,2,0,4,39,248,21,0,3,72,84,0
August,1906,"Cities, class 1",266929,0,0,0,2,14,45,3,1,2,11,33,0
August,1906,"Cities, class 2",155297,0,1,0,0,10,46,2,0,0,12,24,0
August,1906,"Cities, class 3",241848,0,0,0,1,7,47,5,1,1,9,24,0
August,1906,"Cities, class 4",188261,0,2,1,0,8,48,6,0,1,14,21,0
August,1906,"Cities, class 5",129931,0,0,0,1,1,25,3,0,1,5,8,0
September,1906,Indiana (statewide),2648549,4,5,0,5,93,426,50,2,6,95,196,2
September,1906,Northern counties,887832,1,2,0,3,29,140,13,0,2,33,59,0
September,1906,Central counties,1087620,2,1,0,1,46,174,22,2,3,38,104,0
September,1906,Southern counties,673097,1,2,0,1,18,112,15,0,1,24,33,2
September,1906,Urban,982266,1,1,0,3,57,173,20,0,4,46,115,0
September,1906,Rural,1666283,3,4,0,2,36,253,30,2,2,49,81,2
September,1906,"Cities, class 1",266929,0,1,0,0,18,47,2,0,1,7,37,0
September,1906,"Cities, class 2",155297,1,0,0,0,12,25,2,0,1,6,27,0
September,1906,"Cities, class 3",241848,0,0,0,2,16,30,6,0,2,17,21,0
September,1906,"Cities, class 4",188261,0,0,0,1,7,45,10,0,0,10,14,0
September,1906,"Cities, class 5",129931,0,0,0,0,4,26,0,0,0,6,16,0
October,1906,Indiana (statewide),2648549,5,9,0,4,176,200,31,7,8,114,179,3
October,1906,Northern counties,887832,1,0,0,1,46,77,8,3,2,38,57,0
October,1906,Central counties,1087620,1,7,0,1,71,60,11,1,5,46,83,0
October,1906,Southern counties,673097,3,2,0,2,59,63,12,3,1,30,39,3
October,1906,Urban,982266,3,3,0,2,93,83,14,3,6,58,96,3
October,1906,Rural,1666283,2,6,0,2,83,117,17,4,2,56,83,0
October,1906,"Cities, class 1",266929,1,1,0,0,35,14,4,0,2,16,24,0
October,1906,"Cities, class 2",155297,0,0,0,0,7,16,2,0,0,8,20,0
October,1906,"Cities, class 3",241848,2,0,0,2,25,25,3,2,3,15,28,0
October,1906,"Cities, class 4",188261,0,2,0,0,17,14,2,1,1,14,14,3
October,1906,"Cities, class 5",129931,0,0,0,0,9,14,3,0,0,5,10,0
November,1906,Indiana (statewide),2648549,2,14,1,6,302,61,23,8,6,91,184,0
November,1906,Northern counties,887832,1,3,0,3,96,22,10,1,1,29,70,0
November,1906,Central counties,1087620,1,5,1,1,108,23,5,3,1,47,73,0
November,1906,Southern counties,673097,0,6,0,2,98,16,8,4,4,15,41,0
November,1906,Urban,982266,0,5,1,6,132,33,13,3,2,45,89,0
November,1906,Rural,1666283,2,9,0,0,170,28,10,5,4,46,95,0
November,1906,"Cities, class 1",266929,0,1,0,0,40,7,4,1,1,11,22,0
November,1906,"Cities, class 2",155297,0,0,0,2,15,6,0,1,0,12,19,0
November,1906,"Cities, class 3",241848,0,0,1,1,32,6,4,1,1,10,22,0
November,1906,"Cities, class 4",188261,0,4,0,3,25,9,3,0,0,9,13,0
November,1906,"Cities, class 5",129931,0,0,0,0,20,5,2,0,0,3,13,0
December,1906,Indiana (statewide),2648549,7,5,2,10,408,31,17,18,12,111,185,1
December,1906,Northern counties,887832,3,1,0,2,130,12,3,9,4,38,53,0
December,1906,Central counties,1087620,1,2,2,2,163,7,6,7,5,51,94,1
December,1906,Southern counties,673097,3,2,0,6,115,12,8,2,3,22,38,0
December,1906,Urban,982266,3,4,2,2,153,13,9,4,5,48,86,1
December,1906,Rural,1666283,4,1,0,8,255,18,8,14,7,63,99,0
December,1906,"Cities, class 1",266929,0,2,0,0,44,3,2,1,2,15,25,1
December,1906,"Cities, class 2",155297,0,0,0,1,30,3,1,1,2,11,26,0
December,1906,"Cities, class 3",241848,2,0,1,1,34,3,5,2,1,8,20,0
December,1906,"Cities, class 4",188261,1,1,0,0,24,3,0,0,0,10,12,0
December,1906,"Cities, class 5",129931,0,1,1,0,21,1,1,0,0,4,3,0
January,1907,Indiana (statewide),2648549,4,6,5,7,427,31,20,62,19,114,140,3
January,1907,Northern counties,887832,4,4,3,3,137,11,4,17,1,41,38,1
January,1907,Central counties,1087620,0,2,1,2,203,11,10,34,13,47,85,2
January,1907,Southern counties,673097,0,0,1,2,87,9,6,11,5,26,17,0
January,1907,Urban,982266,2,4,4,3,201,17,10,25,11,62,73,3
January,1907,Rural,1666283,2,2,1,4,226,14,10,37,8,52,67,0
January,1907,"Cities, class 1",266929,0,0,0,1,65,2,2,7,7,18,22,2
January,1907,"Cities, class 2",155297,1,2,1,0,31,2,5,3,0,11,19,0
January,1907,"Cities, class 3",241848,0,1,0,1,52,6,1,4,0,20,17,1
January,1907,"Cities, class 4",188261,0,1,0,1,32,3,2,4,2,3,8,0
January,1907,"Cities, class 5",129931,1,0,3,0,21,4,0,7,2,10,7,0
February,1907,Indiana (statewide),2648549,1,6,11,6,664,17,20,124,11,95,131,1
February,1907,Northern counties,887832,0,1,1,0,190,10,6,36,6,40,39,1
February,1907,Central counties,1087620,1,4,10,5,304,4,6,53,3,34,61,0
February,1907,Southern counties,673097,0,1,0,1,170,3,8,35,2,21,31,0
February,1907,Urban,982266,0,1,5,1,284,9,7,41,6,42,71,0
February,1907,Rural,1666283,1,5,6,5,380,8,13,83,5,53,60,1
February,1907,"Cities, class 1",266929,0,1,3,0,86,1,2,10,3,13,16,0
February,1907,"Cities, class 2",155297,0,0,1,0,47,1,0,3,1,9,14,0
February,1907,"Cities, class 3",241848,0,0,0,1,62,1,4,15,1,8,20,0
February,1907,"Cities, class 4",188261,0,0,0,0,62,5,1,8,0,7,20,0
February,1907,"Cities, class 5",129931,0,0,1,0,27,1,0,5,1,5,1,0
March,1907,Indiana (statewide),2698559,3,18,15,10,575,28,39,204,17,120,166,0
March,1907,Northern counties,899960,1,4,2,3,181,11,9,75,4,43,47,0
March,1907,Central counties,1122950,1,13,10,3,239,12,17,68,7,51,85,0
March,1907,Southern counties,675649,1,1,3,4,155,5,13,61,6,26,34,0
March,1907,Urban,1032376,1,7,9,2,226,14,20,63,8,62,88,0
March,1907,Rural,1666183,2,11,6,8,349,14,19,141,9,58,78,0
March,1907,"Cities, class 1",386863,0,6,4,0,78,3,4,19,2,26,45,0
March,1907,"Cities, class 2",97740,0,1,0,0,22,0,1,4,2,4,10,0
March,1907,"Cities, class 3",238403,0,0,1,0,45,1,5,18,2,10,16,0
March,1907,"Cities, class 4",179439,1,0,3,2,44,7,7,9,1,9,9,0
March,1907,"Cities, class 5",129931,0,0,1,0,37,3,3,13,1,13,8,0
April,1907,Indiana (statewide),2698559,0,6,42,10,284,18,28,52,29,121,149,1
April,1907,Northern counties,899960,0,2,13,0,88,10,7,11,8,40,58,1
April,1907,Central counties,1122950,0,1,22,6,120,6,15,25,13,51,61,0
April,1907,Southern counties,675649,0,3,7,4,76,2,6,16,8,30,30,0
April,1907,Urban,1032376,0,4,25,5,130,7,12,15,16,66,79,1
April,1907,Rural,1666183,0,2,17,5,154,11,16,37,13,55,70,0
April,1907,"Cities, class 1",386863,0,0,16,1,61,3,6,8,4,27,33,0
April,1907,"Cities, class 2",97740,0,1,1,1,5,1,2,1,1,4,4,0
April,1907,"Cities, class 3",238403,0,3,2,1,27,2,1,3,5,14,21,1
April,1907,"Cities, class 4",179439,0,0,5,2,21,0,3,2,2,12,13,0
April,1907,"Cities, class 5",129931,0,0,1,0,16,1,0,1,4,9,8,0
